architecture,scheme,checkpoint_role,phase,reference_kind,state_layer_name,layer_index,layer_type,state_shape,T,K,injected_beta,base_beta,model_seed,source_checkpoint_epoch,batch_count,element_count,delta_mean,delta_rms,delta_std,reference_mean,reference_rms,reference_std,current_mean,current_rms,current_std,relative_displacement,reference_norm_zero,max_abs_delta,reference_min,reference_max,current_min,current_max,active_set_transition_count,constrained_element_count,active_set_transition_fraction,batch_p05_delta_rms,batch_median_delta_rms,batch_p95_delta_rms,batch_p05_relative,batch_median_relative,batch_p95_relative,half_span_rms
conv3,baseline,best_validation,negative,matched_zero_K,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,24,36,7225344,-2.2810186217881462e-09,4.57980686579637e-07,4.579750061236997e-07,-2.87267855215945,49.787236088376666,49.704291517490915,-2.8726785544404687,49.787236084719794,49.704291513696106,9.198757002029225e-09,False,4.399461952075967e-05,-251.05602605148056,291.04293840082056,-251.05602616709027,291.04293832547535,0,7225344,0.0,3.075156985459894e-07,4.2696709467297346e-07,6.041825150691001e-07,6.371541582540539e-09,8.558347684486346e-09,1.2374339243120021e-08,
conv3,baseline,best_validation,negative,matched_zero_K,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,24,36,3612672,-1.925664174602544e-08,2.4431829365593913e-06,2.4431070470291792e-06,-0.8164204864419387,20.53665425681473,20.520419724100783,-0.8164205056985804,20.536654246925952,20.52041971343804,1.1896694106094052e-07,False,0.0002088402387128152,-120.1200320201575,154.78291096900261,-120.12003237088575,154.782910278308,3,3612672,8.304102891156462e-07,1.6304074308393253e-06,2.312843000837611e-06,3.2294711153801574e-06,8.142567806859699e-08,1.1108362630832118e-07,1.607219199344727e-07,
conv3,baseline,best_validation,negative,matched_zero_K,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,24,36,7225344,-4.382474437346059e-08,4.499379786878279e-05,4.4993776525744796e-05,-0.1978360659100364,1.4138493918241881,1.3999396393369488,-0.19783610973478077,1.413849217202352,1.3999394567868682,3.1823614402613655e-05,False,0.006255858625744626,-18.5284425738692,25.48233330624668,-18.528445038365263,25.482364261713293,16,7225344,2.2144274376417234e-06,3.1409643466419454e-05,4.21930322933891e-05,6.06778018566169e-05,2.1964067538371693e-05,3.099102087567143e-05,4.369411876089716e-05,
conv3,baseline,best_validation,negative,matched_zero_K,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,24,36,11520,-1.4557432191133027e-05,0.0020441787175642287,0.0020441268821945803,-0.16419462951025465,0.3508556551145632,0.31006421006923635,-0.1642091869424458,0.35084229670867106,0.3100413844690996,0.005826266978358245,False,0.0249025057450962,-1.5155954684891153,1.134649571139382,-1.5146969436832032,1.1358379740289308,0,0,,0.0014584627584145146,0.0019578789358352154,0.002754414129764029,0.003415907986219267,0.005931461723507012,0.008792191711602525,
conv3,baseline,best_validation,positive,post_T_free,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,24,36,7225344,3.036274646566364e-06,0.00010280711700102205,0.0001027622710061064,-2.872681586146716,49.78721267908931,49.704267893788405,-2.8726785498720697,49.78723609203698,49.704291521289534,2.0649301591491017e-06,False,0.00539694920820466,-251.05605344536653,291.0429233321856,-251.05602593587088,291.0429384761658,2,7225344,2.7680342970521543e-07,8.620270746707293e-05,0.0001019738209483383,0.0001170600028911193,1.8084330570977794e-06,2.0408777771391823e-06,2.3543933330699744e-06,
conv3,baseline,best_validation,positive,post_T_free,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,24,36,3612672,1.1607142732305048e-05,8.108191588543769e-05,8.024681502243618e-05,-0.8164320742853338,20.536632824587155,20.52039781388238,-0.8164204671426014,20.536654266705217,20.520419734766932,3.9481601768895465e-06,False,0.0035204678934661615,-120.12007210519545,154.7828476480696,-120.12003166942921,154.78291165969705,12,3612672,3.321641156462585e-06,6.663817859002952e-05,8.057286283035729e-05,9.392195575289292e-05,3.3579729375604413e-06,3.9007273489707695e-06,4.571381527906907e-06,
conv3,baseline,best_validation,positive,post_T_free,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,24,36,7225344,7.180379483295197e-06,6.77910089577688e-05,6.740966582017866e-05,-0.1978432023468349,1.4138310163025025,1.3999200726984797,-0.1978360219673516,1.4138495678831573,1.3999398233551057,4.794845223798957e-05,False,0.006243722551296571,-18.52844947564269,25.480146024318675,-18.528440109373154,25.482302350780106,28,7225344,3.875248015873016e-06,5.6036649325469725e-05,6.683861635409938e-05,7.856759710210665e-05,4.082824811377631e-05,4.685453218560297e-05,5.556065017681842e-05,
conv3,baseline,best_validation,positive,post_T_free,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,24,36,11520,2.6685116994993052e-05,0.0020446736257320693,0.002044499484053564,-0.16420675692752482,0.35085425129236303,0.3100561991466538,-0.16418007181052982,0.3508809222601647,0.31010050891030966,0.005827700870662289,False,0.02491809210686144,-1.515565477523839,1.134560430801881,-1.5164939932950272,1.1334611682498321,0,0,,0.0014589050737762582,0.0019589851035611513,0.0027550146773367328,0.0034164935362528646,0.005933755760983479,0.008794491528731633,
conv3,baseline,best_validation,positive,matched_zero_K,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,24,36,7225344,2.287380536201649e-09,4.579751759223113e-07,4.579694636669072e-07,-2.87267855215945,49.787236088376666,49.704291517490915,-2.8726785498720697,49.78723609203698,49.704291521289534,9.198646317890907e-09,False,4.3994619517206957e-05,-251.05602605148056,291.04293840082056,-251.05602593587088,291.0429384761658,0,7225344,0.0,3.0752056076929466e-07,4.2696709469986633e-07,6.041673365188309e-07,6.371642556959188e-09,8.558208709906803e-09,1.2374030859646744e-08,
conv3,baseline,best_validation,positive,matched_zero_K,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,24,36,3612672,1.929933710061539e-08,2.4431620132691696e-06,2.4430857861869976e-06,-0.8164204864419387,20.53665425681473,20.520419724100783,-0.8164204671426014,20.536654266705217,20.520419734766932,1.1896592223431179e-07,False,0.00020883976304608698,-120.1200320201575,154.78291096900261,-120.12003166942921,154.78291165969705,1,3612672,2.7680342970521543e-07,1.630415166047108e-06,2.3128430009164823e-06,3.2291123446484025e-06,8.142606077232548e-08,1.1108362630990582e-07,1.6070410078068274e-07,
conv3,baseline,best_validation,positive,matched_zero_K,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,24,36,7225344,4.3942684811803454e-08,4.499280910777189e-05,4.499278764923165e-05,-0.1978360659100364,1.4138493918241881,1.3999396393369488,-0.1978360219673516,1.4138495678831573,1.3999398233551057,3.182291506291268e-05,False,0.006255858209452958,-18.5284425738692,25.48233330624668,-18.528440109373154,25.482302350780106,11,7225344,1.5224188633786849e-06,3.140964422720577e-05,4.218937452011892e-05,6.06769465397695e-05,2.1964068079959813e-05,3.09882293208595e-05,4.3693506367332034e-05,
conv3,baseline,best_validation,positive,matched_zero_K,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,24,36,11520,1.4557699724839443e-05,0.002044177812822123,0.0020441259755242486,-0.16419462951025465,0.3508556551145632,0.31006421006923635,-0.16418007181052982,0.3508809222601647,0.31010050891030966,0.005826264399684957,False,0.024902505745096476,-1.5155954684891153,1.134649571139382,-1.5164939932950272,1.1334611682498321,0,0,,0.0014584627589256482,0.0019578790107442397,0.0027544115859273266,0.003415907990068608,0.005931445706237389,0.008792193483524769,
conv3,baseline,best_validation,positive_minus_negative,negative_phase,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,24,36,7225344,4.568399157989795e-09,9.159550284804475e-07,9.159436357810183e-07,-2.8726785544404687,49.787236084719794,49.704291513696106,-2.8726785498720697,49.78723609203698,49.704291521289534,1.8397386569558205e-08,False,8.798923903796663e-05,-251.05602616709027,291.04293832547535,-251.05602593587088,291.0429384761658,0,7225344,0.0,6.150360958276926e-07,8.539341893728398e-07,1.2083485011461018e-06,1.2743180744462622e-08,1.711650356906621e-08,2.4748342489003192e-08,4.5797751424022374e-07
conv3,baseline,best_validation,positive_minus_negative,negative_phase,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,24,36,3612672,3.855597884664083e-08,4.886338739843186e-06,4.886186623225465e-06,-0.8164205056985804,20.536654246925952,20.52041971343804,-0.8164204671426014,20.536654266705217,20.520419734766932,2.3793256102437434e-07,False,0.0004176800017589022,-120.12003237088575,154.782910278308,-120.12003166942921,154.78291165969705,4,3612672,1.1072137188208617e-06,3.2608207834009027e-06,4.625686001754093e-06,6.458569849902644e-06,1.6285164924363617e-07,2.2216725249223943e-07,3.2142534467135274e-07,2.443169369921593e-06
conv3,baseline,best_validation,positive_minus_negative,negative_phase,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,24,36,7225344,8.776742918526405e-08,8.998623707548132e-05,8.99861942738057e-05,-0.19783610973478077,1.413849217202352,1.3999394567868682,-0.1978360219673516,1.4138495678831573,1.3999398233551057,6.364627569942798e-05,False,0.012511716835197584,-18.528445038365263,25.482364261713293,-18.528440109373154,25.482302350780106,27,7225344,3.736846301020408e-06,6.281928769353337e-05,8.438073701044465e-05,0.00012135420217755641,4.392814022827763e-05,6.1978037740589e-05,8.738727918787586e-05,4.499311853774066e-05
conv3,baseline,best_validation,positive_minus_negative,negative_phase,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,24,36,11520,2.911513191597247e-05,0.0040883565303385895,0.0040882528576710745,-0.1642091869424458,0.35084229670867106,0.3100413844690996,-0.16418007181052982,0.3508809222601647,0.31010050891030966,0.01165297505087717,False,0.049805011490192674,-1.5146969436832032,1.1358379740289308,-1.5164939932950272,1.1334611682498321,0,0,,0.002916925517340163,0.003915757946579426,0.005508825715617888,0.006831749542668852,0.01186860825269568,0.017585485595731244,0.0020441782651692947
conv3,ours,reconstructed_initialization,negative,post_T_free,Layer_1,1,ConvLayer,64x14x14,8,8,3,0.046875,0,0,36,7225344,-8.345383045712104e-09,9.790890377386259e-07,9.790534706550856e-07,0.006727432901551168,2.392819420670006,2.392809963532854,0.006727424556168129,2.392819417818132,2.3928099607044317,4.091779886442388e-07,False,7.053910504262184e-06,-31.108228172266863,41.2888239716553,-31.108227926013846,41.28882497814924,0,7225344,0.0,9.004669642498996e-07,9.766628829370951e-07,1.0674497491712858e-06,3.7942207323053203e-07,4.0906480721034597e-07,4.493277923100142e-07,
conv3,ours,reconstructed_initialization,negative,post_T_free,Layer_2,2,ConvLayer,128x7x7,8,8,3,0.046875,0,0,36,3612672,-1.7905909183445872e-07,1.4075836284311188e-05,1.4074697330470834e-05,-0.0009257276626665655,0.0444531148034213,0.044443474706876006,-0.0009259067217584,0.044452728047146874,0.044443084136637064,0.0003166445444049706,False,9.837392339350458e-05,-0.3125533394598965,0.5612138435366167,-0.3125595954032553,0.56118109786571,447,3612672,0.0001237311330782313,1.3613288242168428e-05,1.4065985214802544e-05,1.4549395734003397e-05,0.00029300325851416484,0.0003169082618998311,0.00033824171684195735,
conv3,ours,reconstructed_initialization,negative,post_T_free,Layer_3,3,ConvLayer,256x7x7,8,8,3,0.046875,0,0,36,7225344,-3.138541441767282e-06,0.0022582453956952664,0.0022582432146995347,0.0033767146382109826,0.03894924357545823,0.03880259493065465,0.003373576096769215,0.039009561495807615,0.038863413030953725,0.05797918491845058,False,0.007829538014759939,-0.0924050209360372,0.30333113817318247,-0.09634670801237462,0.30658772435559645,95492,7225344,0.013216256554705215,0.0022493130898975445,0.002258186780638918,0.0022686384869060263,0.05249129761873499,0.058306449488300494,0.06458641551404894,
conv3,ours,reconstructed_initialization,negative,post_T_free,Layer_4,4,LinearLayer,20,8,8,3,0.046875,0,0,36,11520,-0.0009913737104385958,2.165658057858795,2.165657830948115,0.013732967843855583,0.04130631136293948,0.03895660345322385,0.012741594133416988,2.16598993084936,2.165952453845595,52.42922900643821,False,7.042786951523389,-0.07814476031912417,0.1275229328613543,-7.057210896398166,7.139124012309159,0,0,,2.158790570532326,2.1659077187863707,2.172478081199912,38.49639894061903,53.43229050374128,70.96361141827185,
conv3,ours,reconstructed_initialization,negative,matched_zero_K,Layer_1,1,ConvLayer,64x14x14,8,8,3,0.046875,0,0,36,7225344,-2.2850274066214783e-08,9.791705278307608e-07,9.789038704323675e-07,0.006727447406442191,2.3928194213756697,2.39280996419774,0.006727424556168129,2.392819417818132,2.3928099607044317,4.09212044621328e-07,False,7.096311311238779e-06,-31.108228131266156,41.28882410655544,-31.108227926013846,41.28882497814924,0,7225344,0.0,9.033892298762033e-07,9.792816299903819e-07,1.0656652228987992e-06,3.792108258493579e-07,4.081007570670753e-07,4.5023635287129424e-07,
conv3,ours,reconstructed_initialization,negative,matched_zero_K,Layer_2,2,ConvLayer,128x7x7,8,8,3,0.046875,0,0,36,3612672,-2.0662177743544367e-07,1.4076515250043353e-05,1.4074998722052963e-05,-0.0009257000999809645,0.0444531290308584,0.04444348951150259,-0.0009259067217584,0.044452728047146874,0.044443084136637064,0.000316659716805801,False,9.843407642941455e-05,-0.312553352270244,0.5612140707652787,-0.3125595954032553,0.56118109786571,443,3612672,0.00012262391935941044,1.3615625788239442e-05,1.4069928243492721e-05,1.4547334832091449e-05,0.00029307119667656826,0.0003169026639015047,0.0003382437451567024,
