depth,width,netlist_seconds,simulation_seconds,total_seconds,timestamp,source_rel_path,source_path
1,64,0.040092861047014594,20.96885287296027,22.023331308970228,2026-03-04 18:09:41,hidden_1/hidden_64/redundant/20260311-172944_experimental/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/redundant/20260311-172944_experimental/validation_states_spice_layers.timing.json
1,128,0.07591803895775229,37.97930694196839,39.070677741081454,2026-02-25 12:05:05,hidden_1/hidden_128/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/validation_states_spice_layers.timing.json
1,256,0.15656674816273153,93.62051490182057,94.7898937149439,2026-03-04 18:11:17,hidden_1/hidden_256/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/validation_states_spice_layers.timing.json
1,512,0.3647950098384172,309.7582719491329,311.14014074695297,2026-03-04 18:16:29,hidden_1/hidden_512/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/validation_states_spice_layers.timing.json
1,1024,0.659197264816612,1093.2722801950295,1094.951770302141,2026-03-04 18:34:45,hidden_1/hidden_1024/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/validation_states_spice_layers.timing.json
2,64,0.06722920690663159,60.15447337599471,61.481018747901544,2026-03-05 11:22:06,hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.timing.json
2,128,0.14257801603525877,542.5731786359102,543.7305558170192,2026-03-02 15:37:10,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json
2,256,0.4471110620070249,4299.695159645984,4301.242321081925,2026-03-05 12:33:49,hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.timing.json
2,512,1.4962918017990887,52006.47794447793,52009.10704533104,2026-03-14 07:04:24,/home/filip/paper_simulation_results_/digits_simulations/experimental/hidden_2/hidden_512/validation/validation_states_spice_layers.timing.json,/home/filip/paper_simulation_results_/digits_simulations/experimental/hidden_2/hidden_512/validation/validation_states_spice_layers.timing.json
3,64,0.0727189730387181,163.99301343597472,165.07923992117867,2026-03-11 16:23:08,hidden_3/hidden_64/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation_states_spice_layers.timing.json
3,128,0.20281082205474377,1130.263826085953,1131.4812394059263,2026-03-02 16:08:24,hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json
3,256,0.7235300438478589,13722.047034711111,13723.796278140042,2026-03-11 20:11:53,hidden_3/hidden_256/validation_states_spice_layers.timing.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation_states_spice_layers.timing.json
